YSTZ,YSHZ,SJLTZ,SJLHZ,第四季度营收变化,第四季度利润变化,市盈率,市净率,股价变动,市净率百分位,市盈率百分位,label
-76.44831817,-14.2602,-192.76,-597.9152,-0.728626678,-5.288214139,-36.05555556,3.703085196,0.603760408,0.499777084,0,0
-18.785662,-22.6257,215.09,198.6778,-0.114843496,-1.264704203,81.94627917,25.49207019,-0.116653858,0.615344193,0.012611666,1
7.229374311,-15.6835,89.81,-91.3511,-0.130763822,-0.797250526,8.836187967,1.356057207,0.418804567,0.29475043,0.009466437,0
12.20459441,14.3487,7.04,2.9684,0.324291939,0.341094674,27.01986755,1.367194453,0.338610561,0,0.447225699,0
6.12260997,-3.2236,-5.72,-68.9692,0.056985115,-0.340573194,10.5,1.081280704,-0.19751861,0,0,0
9.823325756,64.7134,19.63,267.9046,-0.076562262,0.060918301,35.02,3.334897061,0.163307919,0.769230769,0.308704453,0
2.840674868,11.7614,-18.64,41.2775,0.159226458,0.166724234,32.8,1.888842708,-0.090267272,0.063432836,0.53358209,0
-14.59676713,0.1789,-62.3,-66.6499,0.117687137,-0.63535908,28.64583333,0.881966135,0.1712299,0,0.36287953,1
3.035521994,216.3474,6.56,2574.8076,0.0490746,0.05854002,41.75,2.570377376,0.019550839,0.038859033,0.106242249,0
21.08432413,-9.5676,17.91,13.5479,0.238137667,0.206153943,18.49710983,1.075437813,-0.095315024,0.002585093,0,1
-10.01825544,-8.4079,-264.6,-1661.9831,0.052605262,1.123932165,-14.46779964,2.332304056,-0.183963964,0.152063051,0,0
12.25150854,-6.8104,110.01,19.6671,0.171657277,1.748461711,57.60171306,1.328521671,0.231389646,0.163853438,0.435570193,1
46.66783653,-10.7951,22.25,-39.9798,0.203009958,0.002325758,8.702508961,1.339968041,0.240704691,0.121638395,0.127430699,0
11.89871229,11.1447,9.29,-23.7125,0.080596836,-0.091135971,15.18181818,1.48733113,0.050471769,0.161971831,0.022065728,1
5.865404172,8.5694,12.86,-86.9311,0.14471062,-0.473652425,18.63662961,1.364735356,0.931417846,0.216356556,0.189528343,0
-34.1624373,-0.1096,103.43,387.5707,-0.422166175,-1.260506575,214,2.620347381,-0.083792049,0.001349528,0.32388664,0
11.00840374,14.4289,20.08,-33.314,0.042176836,0.718173909,11.76744186,1.231005764,0.045146061,0.064262023,0.002487562,1
7.199486461,-3.9974,88.56,-172.7419,0.192198305,-0.873137792,-105.5,1.042808968,0.072751483,0.076666667,0,1
