YSTZ,YSHZ,SJLTZ,SJLHZ,第四季度营收变化,第四季度利润变化,市盈率,市净率,股价变动,市净率百分位,市盈率百分位,净现比,WEIGHTAVG_ROE,XSMLL,label
15.71006019,16.7783,249.01,66.9116,-0.030307863,0.907700888,22.875,5.863705628,0.02098831,0.821428571,0,1.651907136,29.39,29.8654767,1
2.263349065,26.3796,2.81,-11.875,-0.035739658,-0.405540833,6.701986755,1.155059404,-0.175837405,0,0.003359933,1.343714827,17.62,39.65933749,0
1.210494916,62.7681,22.42,-25.9929,0.059516131,-0.177860263,17.11940299,3.475369952,0.27964705,0.043153527,0.054356846,1.096524419,22.09,42.70252631,1
19.69792372,9.0136,64.03,21.7763,0.283856826,1.170667108,35.1589404,8.533866476,0.41082456,0.904939809,0.616853466,1.114020271,27.37,37.04281012,1
171.4264234,6.9782,690.54,-92.4686,0.053564329,-0.772647197,15.44,2.776684777,0.689806129,0.272102161,0.025049116,0.914920056,18.82,17.87601349,0
11.68361573,-3.0297,54.29,-24.7718,0.187409219,0.982918569,15.75824176,2.890582675,0.925570689,0.526139691,0,1.512801661,20.96,29.2143039,0
23.54398166,17.5454,139.99,-63.855,0.307205984,-0.431971785,30.47155305,3.723733849,-0.313131059,0.640034364,0.423109966,1.254311776,15.6,21.33819867,1
8.367896223,-6.6764,22.94,-4.628,0.155096841,0.221717491,27.07272727,3.313720175,0.055814425,0.268600252,0.107187894,1.450629516,15.46,55.63688053,1
126.4182615,35.5938,258.66,-110.2366,2.664951696,-2.127267911,12.14835165,2.308208666,0.275541881,0.174860853,0,2.056510108,19.31,64.40184771,1
37.61609674,20.2826,281.02,-19.7695,0.733271952,1.239268416,16.95833333,3.100191028,-0.040040434,0.320746528,0.053819444,0.921876207,18.7,22.02872531,0
27.84838119,8.2456,30.54,10.0032,0.483085611,0.89245285,48.14139111,6.362571401,-0.048784884,0.662026968,0.342322749,1.408792353,15.07,22.92859289,1
34.7331798,19.7925,47.05,-31.7615,0.29749286,-0.046079461,21.88510321,3.225040312,0.666982383,0.725859633,0,0.959018989,15.72,34.92892145,0
47.96339135,42.8863,53.28,18.8627,0.336017162,0.39399358,35.11650485,9.181774335,-0.138868104,0.947106691,0.146925859,0.953320265,30.29,18.08759395,1
14.23172769,-21.0336,28.42,-21.8641,0.231535004,0.875439307,31.07142857,7.04564282,-0.275682328,0.754114713,0.151122195,1.213950705,24.74,58.26401121,1
4.742414301,3.6145,4.46,5.3649,0.171762677,0.066886652,21.49714286,4.434721119,0.252290524,0.390689183,0.170241899,0.925642632,22.39,56.1646801,1
20.65644288,-2.3569,369.64,-11.1711,0.303284595,2.356616066,7.299065421,1.432751634,-0.181586826,0.129561079,0,0.998282269,25.68,13.32630154,0
31.20343427,12.145,78.31,-11.0102,0.330805411,1.122260052,113.1067961,19.40951193,2.363765107,0.72638277,0.644640235,1.310618247,23.82,65.50370993,1
8.674848479,28.3207,10.66,39.7487,0.372311834,0.38485656,24.16030534,4.716194812,0.701917906,0.407139411,0.147612156,0.958035276,20.92,36.56078021,1
